Target Distance: 1233, Step Size: 12
124: (x,y) = (42.6709, -22.4252)
125: (x,y) = (45.1659, -10.6874)
126: (x,y) = (52.8793, -1.4949)
127: (x,y) = (51.2092, 10.3883)
128: (x,y) = (59.2388, 19.3061)
129: (x,y) = (57.5687, 31.1893)
130: (x,y) = (68.9814, 34.8975)
131: (x,y) = (73.6702, 23.8514)
132: (x,y) = (61.7359, 25.1058)
133: (x,y) = (60.8988, 37.0765)
134: (x,y) = (67.6092, 27.1281)
135: (x,y) = (78.3012, 21.6802)
136: (x,y) = (81.2043, 10.0366)
137: (x,y) = (73.8164, 0.580512)
138: (x,y) = (74.2351, 12.5732)
139: (x,y) = (86.2278, 12.992)
140: (x,y) = (94.4118, 21.7682)
141: (x,y) = (99.2927, 10.8057)
142: (x,y) = (89.2286, 17.3414)
143: (x,y) = (100.872, 20.2444)
144: (x,y) = (90.8081, 13.7088)
145: (x,y) = (101.403, 19.3424)
146: (x,y) = (95.223, 29.6284)
147: (x,y) = (85.159, 36.1641)
148: (x,y) = (97.0932, 34.9098)
149: (x,y) = (108.737, 37.8128)
150: (x,y) = (105.834, 49.4564)
151: (x,y) = (100.953, 38.4938)
152: (x,y) = (89.9903, 43.3747)
153: (x,y) = (100.866, 48.4461)
154: (x,y) = (100.238, 36.4625)
155: (x,y) = (90.0614, 42.8216)
156: (x,y) = (81.5761, 34.3363)
157: (x,y) = (84.2756, 46.0287)
158: (x,y) = (90.8112, 35.9647)
159: (x,y) = (95.1116, 24.7617)
160: (x,y) = (86.4796, 16.4258)
161: (x,y) = (75.0039, 12.9173)
162: (x,y) = (77.4989, 1.17957)
163: (x,y) = (72.2384, 11.9651)
164: (x,y) = (60.7627, 8.45664)
165: (x,y) = (64.0704, 19.9918)
166: (x,y) = (63.6516, 31.9845)
167: (x,y) = (64.0704, 43.9772)
168: (x,y) = (59.77, 32.7742)
169: (x,y) = (67.3218, 23.4484)
170: (x,y) = (72.0106, 34.4945)
171: (x,y) = (60.6644, 38.4013)
172: (x,y) = (55.9756, 49.4474)
173: (x,y) = (63.3635, 58.9035)
174: (x,y) = (73.7558, 52.9035)
175: (x,y) = (62.1123, 50.0004)
176: (x,y) = (69.6641, 40.6747)
177: (x,y) = (73.1726, 29.199)
178: (x,y) = (75.0498, 41.0513)
179: (x,y) = (81.9327, 31.2215)
180: (x,y) = (93.9035, 30.3844)
181: (x,y) = (98.2039, 19.1814)
182: (x,y) = (104.384, 29.4674)
183: (x,y) = (102.301, 17.6497)
184: (x,y) = (98.9929, 6.1146)
185: (x,y) = (87.0002, 5.6958)
186: (x,y) = (93.1807, 15.9818)
187: (x,y) = (103.966, 21.2423)
188: (x,y) = (105.636, 33.1255)
189: (x,y) = (114.268, 24.7896)
190: (x,y) = (103.576, 30.2375)
191: (x,y) = (115.314, 32.7324)
192: (x,y) = (116.984, 44.6156)
193: (x,y) = (127.77, 49.8761)
194: (x,y) = (139.74, 50.7132)
195: (x,y) = (131.711, 41.7954)
196: (x,y) = (123.838, 50.8519)
197: (x,y) = (130.374, 60.916)
198: (x,y) = (124.374, 50.5237)
199: (x,y) = (123.955, 62.5164)
200: (x,y) = (116.403, 71.8421)
201: (x,y) = (110.955, 82.5342)
202: (x,y) = (113.45, 70.7964)
203: (x,y) = (104.965, 62.3111)
204: (x,y) = (109.654, 73.3572)
205: (x,y) = (99.8239, 66.4743)
206: (x,y) = (91.0477, 74.6583)
207: (x,y) = (83.3342, 83.8508)
208: (x,y) = (84.3801, 71.8965)
209: (x,y) = (92.4097, 80.8142)
210: (x,y) = (104.293, 79.1441)
211: (x,y) = (112.925, 70.8082)
212: (x,y) = (121.109, 62.032)
213: (x,y) = (126.743, 72.6273)
214: (x,y) = (120.925, 62.1319)
215: (x,y) = (109.187, 64.6269)
216: (x,y) = (117.217, 73.5446)
217: (x,y) = (124.605, 64.0885)
218: (x,y) = (113.642, 59.2076)
219: (x,y) = (110.943, 70.9001)
220: (x,y) = (98.9719, 71.7371)
221: (x,y) = (100.434, 59.8266)
222: (x,y) = (112.318, 58.1565)
223: (x,y) = (111.899, 70.1492)
224: (x,y) = (102.981, 62.1196)
225: (x,y) = (92.4856, 56.3019)
226: (x,y) = (89.3798, 67.893)
227: (x,y) = (92.0792, 56.2006)
228: (x,y) = (86.2614, 45.7051)
229: (x,y) = (85.6334, 33.7216)
230: (x,y) = (96.3255, 39.1695)
231: (x,y) = (101.773, 28.4774)
232: (x,y) = (113.591, 26.3936)
233: (x,y) = (116.899, 37.9288)
234: (x,y) = (112.794, 49.2051)
235: (x,y) = (102.618, 55.5641)
236: (x,y) = (111.674, 47.6914)
237: (x,y) = (100.328, 43.7846)
238: (x,y) = (92.6147, 52.9771)
239: (x,y) = (81.0796, 49.6695)
240: (x,y) = (82.9568, 37.8172)
241: (x,y) = (74.6209, 46.4493)
242: (x,y) = (69.173, 57.1414)
243: (x,y) = (80.8655, 54.4419)
244: (x,y) = (89.0495, 45.6657)
245: (x,y) = (98.106, 53.5384)
246: (x,y) = (95.8163, 41.7589)
247: (x,y) = (107.727, 40.2965)
248: (x,y) = (111.034, 51.8316)
249: (x,y) = (100.342, 57.2795)
250: (x,y) = (111.689, 53.3727)
251: (x,y) = (122.081, 47.3727)
252: (x,y) = (110.17, 45.9102)
253: (x,y) = (118.506, 54.5423)
254: (x,y) = (106.654, 52.6651)
255: (x,y) = (98.6244, 61.5828)
256: (x,y) = (109.901, 65.6871)
257: (x,y) = (121.753, 67.5643)
258: (x,y) = (110.061, 64.8649)
259: (x,y) = (111.106, 52.9105)
260: (x,y) = (110.269, 64.8813)
261: (x,y) = (109.015, 76.8156)
262: (x,y) = (108.178, 88.7863)
263: (x,y) = (110.262, 100.604)
264: (x,y) = (104.444, 111.099)
265: (x,y) = (112.78, 102.467)
266: (x,y) = (102.388, 108.467)
267: (x,y) = (95.3342, 98.7592)
268: (x,y) = (88.4513, 88.9294)
269: (x,y) = (96.0031, 98.2551)
270: (x,y) = (97.049, 110.209)
271: (x,y) = (93.1421, 98.8632)
272: (x,y) = (104.188, 94.1745)
273: (x,y) = (114.137, 100.885)
274: (x,y) = (105.36, 109.069)
275: (x,y) = (96.4427, 101.039)
276: (x,y) = (89.7324, 110.988)
277: (x,y) = (86.4247, 122.523)
278: (x,y) = (98.3079, 124.193)
279: (x,y) = (101.816, 112.717)
280: (x,y) = (113.8, 113.345)
281: (x,y) = (107.441, 103.169)
282: (x,y) = (97.6111, 96.2857)
283: (x,y) = (100.514, 84.6422)
284: (x,y) = (91.3216, 76.9287)
285: (x,y) = (102.857, 73.6211)
286: (x,y) = (110.886, 64.7033)
287: (x,y) = (102.55, 56.0713)
288: (x,y) = (91.5879, 60.9521)
289: (x,y) = (79.9968, 57.8463)
290: (x,y) = (91.343, 61.7531)
291: (x,y) = (79.343, 61.7531)
292: (x,y) = (90.8186, 65.2616)
293: (x,y) = (91.0281, 53.2634)
294: (x,y) = (100.221, 45.5499)
295: (x,y) = (97.5212, 57.2424)
296: (x,y) = (103.521, 46.8501)
297: (x,y) = (113.47, 40.1398)
298: (x,y) = (123.299, 47.0227)
299: (x,y) = (128.371, 57.8984)
300: (x,y) = (127.325, 45.944)
301: (x,y) = (133.143, 56.4395)
302: (x,y) = (131.473, 68.3227)
303: (x,y) = (137.473, 57.9304)
304: (x,y) = (148.519, 53.2416)
305: (x,y) = (159.795, 57.3458)
306: (x,y) = (148.204, 54.24)
307: (x,y) = (149.25, 66.1944)
308: (x,y) = (150.087, 54.2236)
309: (x,y) = (160.151, 60.7593)
310: (x,y) = (166.687, 70.8233)
311: (x,y) = (178.621, 69.569)
312: (x,y) = (179.667, 81.5233)
313: (x,y) = (177.997, 93.4065)
314: (x,y) = (183.068, 104.282)
315: (x,y) = (180.984, 92.4645)
316: (x,y) = (190.041, 100.337)
317: (x,y) = (200.536, 94.5195)
318: (x,y) = (194.536, 84.1272)
319: (x,y) = (199.797, 73.3417)
320: (x,y) = (206.85, 83.0499)
321: (x,y) = (195.071, 80.7602)
322: (x,y) = (184.575, 86.5779)
323: (x,y) = (194.283, 79.5245)
324: (x,y) = (206.021, 82.0194)
325: (x,y) = (217.612, 78.9136)
326: (x,y) = (206.2, 82.6218)
327: (x,y) = (206.409, 94.6199)
328: (x,y) = (195.363, 99.3087)
329: (x,y) = (202.585, 108.892)
330: (x,y) = (194.712, 99.8358)
331: (x,y) = (195.758, 87.8815)
332: (x,y) = (185.162, 82.2478)
333: (x,y) = (186.625, 94.1584)
334: (x,y) = (174.641, 93.5304)
335: (x,y) = (163.949, 98.9782)
336: (x,y) = (175.802, 97.101)
337: (x,y) = (173.718, 108.919)
338: (x,y) = (167.007, 98.9703)
339: (x,y) = (168.885, 110.823)
340: (x,y) = (160.855, 101.905)
341: (x,y) = (152.223, 93.5689)
342: (x,y) = (140.81, 89.8607)
343: (x,y) = (152.765, 88.8148)
344: (x,y) = (158.213, 99.5069)
345: (x,y) = (163.66, 110.199)
346: (x,y) = (158.4, 99.4134)
347: (x,y) = (146.987, 103.122)
348: (x,y) = (135.135, 104.999)
349: (x,y) = (123.492, 107.902)
350: (x,y) = (113.099, 113.902)
351: (x,y) = (120.153, 123.61)
352: (x,y) = (115.272, 134.573)
353: (x,y) = (104.396, 129.501)
354: (x,y) = (94.5663, 122.618)
355: (x,y) = (103.343, 114.434)
356: (x,y) = (99.2383, 125.711)
357: (x,y) = (92.1849, 135.419)
358: (x,y) = (88.6764, 146.895)
359: (x,y) = (95.8982, 137.311)
360: (x,y) = (93.4032, 125.573)
361: (x,y) = (82.9078, 119.755)
362: (x,y) = (80.6181, 107.976)
363: (x,y) = (87.501, 117.806)
364: (x,y) = (80.1131, 108.35)
365: (x,y) = (70.1646, 101.639)
366: (x,y) = (81.0403, 96.5679)
367: (x,y) = (69.0568, 97.1959)
368: (x,y) = (80.7945, 94.7009)
369: (x,y) = (91.1868, 88.7009)
370: (x,y) = (94.0899, 77.0574)
371: (x,y) = (105.681, 73.9516)
372: (x,y) = (98.2931, 64.4954)
373: (x,y) = (96.623, 52.6122)
374: (x,y) = (84.9794, 55.5153)
375: (x,y) = (87.2692, 43.7358)
376: (x,y) = (81.4514, 33.2403)
377: (x,y) = (69.5409, 31.7779)
378: (x,y) = (59.0454, 37.5956)
379: (x,y) = (59.0454, 25.5956)
380: (x,y) = (62.3531, 37.1307)
381: (x,y) = (58.4463, 25.7845)
382: (x,y) = (46.4627, 26.4126)
383: (x,y) = (38.59, 35.4691)
384: (x,y) = (26.8976, 32.7697)
385: (x,y) = (15.0144, 34.4397)
386: (x,y) = (24.2069, 26.7263)
387: (x,y) = (21.7119, 38.4641)
388: (x,y) = (32.758, 43.1528)
389: (x,y) = (42.2141, 50.5408)
390: (x,y) = (33.0216, 42.8273)
391: (x,y) = (31.9757, 54.7817)
392: (x,y) = (39.1975, 45.198)
393: (x,y) = (27.2267, 46.0351)
394: (x,y) = (18.8908, 54.6672)
395: (x,y) = (29.2831, 60.6672)
396: (x,y) = (17.3288, 59.6213)
397: (x,y) = (18.1659, 71.5921)
398: (x,y) = (16.9115, 83.5263)
399: (x,y) = (5.949, 88.4072)
400: (x,y) = (1.84476, 99.6835)
401: (x,y) = (-9.2013, 104.372)
402: (x,y) = (-20.614, 108.08)
403: (x,y) = (-19.1515, 96.1699)
404: (x,y) = (-31.1351, 95.5419)
405: (x,y) = (-20.0089, 91.0466)
406: (x,y) = (-8.07463, 89.7923)
407: (x,y) = (-4.9688, 78.2012)
408: (x,y) = (-1.86297, 89.7923)
409: (x,y) = (-7.86297, 79.4)
410: (x,y) = (1.96685, 86.2829)
411: (x,y) = (-1.13898, 97.874)
412: (x,y) = (10.7133, 95.9968)
413: (x,y) = (-1.02449, 98.4917)
414: (x,y) = (10.3882, 102.2)
415: (x,y) = (-0.303886, 96.752)
416: (x,y) = (10.5718, 101.823)
417: (x,y) = (4.93815, 112.419)
418: (x,y) = (15.6302, 106.971)
419: (x,y) = (25.8068, 100.612)
420: (x,y) = (14.4606, 96.7051)
421: (x,y) = (20.9962, 106.769)
422: (x,y) = (10.8197, 113.128)
423: (x,y) = (15.315, 124.254)
424: (x,y) = (6.68287, 115.918)
425: (x,y) = (1.61145, 126.794)
426: (x,y) = (12.3035, 121.346)
427: (x,y) = (12.9316, 133.33)
428: (x,y) = (22.5152, 126.108)
429: (x,y) = (30.8511, 117.476)
430: (x,y) = (38.4029, 126.802)
431: (x,y) = (44.5834, 137.088)
432: (x,y) = (55.7096, 141.583)
433: (x,y) = (44.0172, 144.282)
434: (x,y) = (32.891, 148.778)
435: (x,y) = (44.8836, 148.359)
436: (x,y) = (55.6692, 153.619)
437: (x,y) = (43.8169, 151.742)
438: (x,y) = (52.8734, 159.615)
439: (x,y) = (64.2861, 155.907)
440: (x,y) = (70.6451, 145.73)
441: (x,y) = (76.6451, 156.122)
442: (x,y) = (77.0639, 144.13)
443: (x,y) = (79.5589, 132.392)
444: (x,y) = (67.8211, 134.887)
445: (x,y) = (59.4852, 143.519)
446: (x,y) = (66.1955, 153.467)
447: (x,y) = (54.3778, 155.551)
448: (x,y) = (53.7498, 143.568)
449: (x,y) = (49.061, 154.614)
450: (x,y) = (46.9772, 142.796)
451: (x,y) = (36.5849, 136.796)
452: (x,y) = (40.6892, 148.072)
453: (x,y) = (50.0149, 155.624)
454: (x,y) = (39.8383, 149.265)
455: (x,y) = (35.7341, 137.989)
456: (x,y) = (28.1823, 147.315)
457: (x,y) = (29.0193, 135.344)
458: (x,y) = (39.895, 140.415)
459: (x,y) = (38.225, 152.298)
460: (x,y) = (26.8123, 148.59)
461: (x,y) = (37.4076, 142.957)
462: (x,y) = (49.3182, 144.419)
463: (x,y) = (60.5212, 148.719)
464: (x,y) = (66.7016, 138.433)
465: (x,y) = (74.4151, 129.241)
466: (x,y) = (84.7011, 123.06)
467: (x,y) = (93.1864, 114.575)
468: (x,y) = (95.4761, 126.355)
469: (x,y) = (83.5217, 127.401)
470: (x,y) = (73.3452, 121.041)
471: (x,y) = (62.3826, 116.161)
472: (x,y) = (64.4664, 127.978)
473: (x,y) = (71.0021, 117.914)
474: (x,y) = (69.1248, 106.062)
475: (x,y) = (76.0078, 96.2322)
476: (x,y) = (64.6615, 92.3254)
477: (x,y) = (61.1531, 80.8497)
478: (x,y) = (55.8926, 70.0642)
479: (x,y) = (64.3779, 78.5495)
480: (x,y) = (76.2611, 76.8794)
481: (x,y) = (88.0788, 74.7956)
482: (x,y) = (77.2031, 69.7242)
483: (x,y) = (88.4794, 73.8285)
484: (x,y) = (77.5169, 78.7093)
485: (x,y) = (73.2165, 89.9123)
486: (x,y) = (80.6044, 80.4561)
487: (x,y) = (69.1917, 84.1643)
488: (x,y) = (81.1844, 83.7455)
489: (x,y) = (79.3072, 71.8933)
490: (x,y) = (87.4912, 63.117)
491: (x,y) = (92.5626, 52.2413)
492: (x,y) = (86.2036, 62.4179)
493: (x,y) = (75.0774, 57.9226)
494: (x,y) = (79.5727, 69.0488)
495: (x,y) = (90.6989, 64.5536)
496: (x,y) = (97.5818, 54.7237)
497: (x,y) = (96.9537, 42.7402)
498: (x,y) = (87.8972, 50.6129)
499: (x,y) = (82.6368, 39.8274)
500: (x,y) = (94.52, 38.1573)
501: (x,y) = (82.5492, 37.3202)
502: (x,y) = (93.3348, 42.5807)
503: (x,y) = (81.3512, 41.9526)
504: (x,y) = (70.9589, 35.9526)
505: (x,y) = (65.511, 25.2606)
506: (x,y) = (66.3481, 13.2898)
507: (x,y) = (76.6341, 19.4702)
508: (x,y) = (85.4103, 27.6542)
509: (x,y) = (74.4478, 32.5351)
510: (x,y) = (66.2638, 41.3113)
511: (x,y) = (73.1467, 51.1411)
512: (x,y) = (76.4544, 39.606)
513: (x,y) = (87.8006, 35.6992)
514: (x,y) = (92.872, 46.5749)
515: (x,y) = (104.516, 49.4779)
516: (x,y) = (109.963, 38.7859)
517: (x,y) = (115.597, 28.1905)
518: (x,y) = (116.643, 16.2361)
519: (x,y) = (104.791, 18.1134)
520: (x,y) = (113.983, 25.8268)
521: (x,y) = (108.912, 36.7025)
522: (x,y) = (104.031, 25.74)
523: (x,y) = (92.3386, 28.4394)
524: (x,y) = (92.9666, 40.4229)
525: (x,y) = (85.0939, 31.3664)
526: (x,y) = (89.5892, 20.2402)
527: (x,y) = (95.7696, 30.5262)
528: (x,y) = (106.365, 24.8926)
529: (x,y) = (98.181, 33.6688)
530: (x,y) = (94.2742, 22.3226)
531: (x,y) = (83.8819, 16.3226)
532: (x,y) = (71.9987, 17.9927)
533: (x,y) = (83.5898, 21.0985)
534: (x,y) = (94.1851, 26.7321)
535: (x,y) = (104.362, 33.0912)
536: (x,y) = (107.265, 21.4476)
537: (x,y) = (118.05, 16.1872)
538: (x,y) = (126.234, 7.41092)
539: (x,y) = (136.064, 14.2938)
540: (x,y) = (142.245, 24.5798)
541: (x,y) = (138.338, 35.9261)
542: (x,y) = (137.919, 23.9334)
543: (x,y) = (126.643, 19.8291)
544: (x,y) = (131.714, 8.95345)
545: (x,y) = (137.532, 19.4489)
546: (x,y) = (125.794, 16.9539)
547: (x,y) = (126.003, 28.9521)
548: (x,y) = (137.696, 31.6515)
549: (x,y) = (126.42, 35.7558)
550: (x,y) = (123.925, 24.018)
551: (x,y) = (116.871, 33.7262)
552: (x,y) = (121.56, 22.6801)
553: (x,y) = (130.478, 14.6506)
554: (x,y) = (129.432, 26.6049)
555: (x,y) = (131.722, 14.8254)
556: (x,y) = (129.432, 26.6049)
557: (x,y) = (129.222, 14.6067)
558: (x,y) = (137.999, 6.42276)
559: (x,y) = (126.306, 9.12217)
560: (x,y) = (114.308, 8.91274)
561: (x,y) = (111.813, 20.6505)
562: (x,y) = (123.806, 21.0693)
563: (x,y) = (128.301, 9.9431)
564: (x,y) = (138.693, 3.9431)
565: (x,y) = (142.994, 15.1461)
566: (x,y) = (151.33, 6.51399)
567: (x,y) = (162.973, 9.41705)
568: (x,y) = (163.601, 21.4006)
569: (x,y) = (175.594, 21.8194)
570: (x,y) = (163.64, 22.8653)
571: (x,y) = (152.594, 27.554)
572: (x,y) = (156.5, 16.2078)
573: (x,y) = (159.808, 4.67268)
574: (x,y) = (158.346, 16.5832)
575: (x,y) = (167.671, 9.03139)
576: (x,y) = (167.671, 21.0314)
577: (x,y) = (169.755, 9.2137)
578: (x,y) = (181.607, 11.0909)
579: (x,y) = (174.897, 21.0394)
580: (x,y) = (180.158, 10.2538)
581: (x,y) = (174.34, -0.241605)
582: (x,y) = (186.223, -1.91168)
583: (x,y) = (198.075, -0.0344686)
584: (x,y) = (204.611, -10.0985)
585: (x,y) = (216.582, -10.9356)
586: (x,y) = (211.51, -21.8113)
587: (x,y) = (205.877, -11.2159)
588: (x,y) = (196.684, -18.9294)
589: (x,y) = (201.565, -7.96682)
590: (x,y) = (203.855, 3.8127)
591: (x,y) = (212.191, 12.4448)
592: (x,y) = (200.28, 10.9824)
593: (x,y) = (201.534, 22.9166)
594: (x,y) = (211.711, 16.5576)
595: (x,y) = (199.718, 16.9764)
596: (x,y) = (188.756, 12.0955)
597: (x,y) = (195.977, 2.51191)
598: (x,y) = (190.53, -8.18017)
599: (x,y) = (183.308, -17.7638)
600: (x,y) = (195.306, -17.5544)
601: (x,y) = (187.433, -26.6109)
602: (x,y) = (180.212, -17.0273)
603: (x,y) = (170.147, -23.5629)
604: (x,y) = (171.402, -11.6287)
605: (x,y) = (183.285, -9.95858)
606: (x,y) = (190.837, -0.632831)
607: (x,y) = (200.029, 7.08062)
608: (x,y) = (207.743, -2.11191)
609: (x,y) = (217.451, 4.94151)
610: (x,y) = (212.191, 15.727)
611: (x,y) = (224.043, 13.8498)
612: (x,y) = (236.026, 14.4779)
613: (x,y) = (232.318, 3.06518)
614: (x,y) = (223.4, -4.96439)
615: (x,y) = (235.044, -2.06133)
616: (x,y) = (223.509, -5.36897)
617: (x,y) = (214.053, 2.01896)
618: (x,y) = (208.053, 12.4113)
619: (x,y) = (197.177, 7.33985)
620: (x,y) = (185.179, 7.13042)
621: (x,y) = (197.133, 6.08455)
622: (x,y) = (185.135, 6.29398)
623: (x,y) = (190.583, -4.3981)
624: (x,y) = (183.195, -13.8542)
625: (x,y) = (191.225, -4.93649)
626: (x,y) = (194.128, 6.70706)
627: (x,y) = (195.59, -5.20349)
628: (x,y) = (202.473, -15.0333)
629: (x,y) = (191.06, -18.7415)
630: (x,y) = (179.368, -16.0421)
631: (x,y) = (168.976, -22.0421)
632: (x,y) = (163.715, -32.8276)
633: (x,y) = (157.715, -43.2199)
634: (x,y) = (146.302, -46.9281)
635: (x,y) = (156.011, -39.8747)
636: (x,y) = (153.927, -51.6924)
637: (x,y) = (163.51, -58.9142)
638: (x,y) = (151.6, -60.3766)
639: (x,y) = (147.105, -71.5028)
640: (x,y) = (157.6, -65.6851)
641: (x,y) = (155.105, -77.4229)
642: (x,y) = (143.195, -78.8853)
643: (x,y) = (140.905, -90.6649)
644: (x,y) = (129.942, -95.5457)
645: (x,y) = (117.944, -95.3363)
646: (x,y) = (107.658, -101.517)
647: (x,y) = (105.368, -89.7372)
648: (x,y) = (108.676, -101.272)
649: (x,y) = (117.452, -93.0884)
650: (x,y) = (129.451, -93.2978)
651: (x,y) = (141.443, -93.7166)
652: (x,y) = (138.948, -81.9788)
653: (x,y) = (148.274, -89.5306)
654: (x,y) = (148.483, -77.5325)
655: (x,y) = (151.992, -89.0081)
656: (x,y) = (163.771, -86.7184)
657: (x,y) = (167.079, -75.1833)
658: (x,y) = (171.183, -63.907)
659: (x,y) = (167.475, -75.3197)
660: (x,y) = (167.685, -63.3215)
661: (x,y) = (160.463, -72.9051)
662: (x,y) = (169.789, -65.3533)
663: (x,y) = (180.751, -60.4724)
664: (x,y) = (169.059, -57.773)
665: (x,y) = (172.366, -46.2379)
666: (x,y) = (160.587, -48.5276)
667: (x,y) = (153.035, -39.2018)
668: (x,y) = (147.217, -49.6973)
669: (x,y) = (159.128, -48.2348)
670: (x,y) = (154.632, -37.1086)
671: (x,y) = (142.64, -37.5274)
672: (x,y) = (151.557, -45.557)
673: (x,y) = (141.609, -38.8467)
674: (x,y) = (153.58, -39.6837)
675: (x,y) = (160.463, -29.8539)
676: (x,y) = (148.552, -28.3915)
677: (x,y) = (144.844, -39.8042)
678: (x,y) = (138.844, -50.1965)
679: (x,y) = (141.747, -38.5529)
680: (x,y) = (149.299, -29.2272)
681: (x,y) = (141.115, -20.4509)
682: (x,y) = (142.161, -32.4053)
683: (x,y) = (154.013, -30.5281)
684: (x,y) = (146.625, -21.0719)
