Target Distance: 123, Step Size: 21
50: (x,y) = (220.136, 123.026)
51: (x,y) = (151.355, 224.998)
52: (x,y) = (274.28, 229.29)
53: (x,y) = (166.702, 169.659)
54: (x,y) = (287.833, 191.017)
55: (x,y) = (329.902, 75.4351)
56: (x,y) = (223.38, 13.9351)
57: (x,y) = (330.959, -45.6965)
58: (x,y) = (213.979, -83.7056)
59: (x,y) = (107.458, -22.2056)
60: (x,y) = (227.77, 3.36758)
61: (x,y) = (136.363, -78.9355)
62: (x,y) = (253.988, -114.897)
63: (x,y) = (376.913, -119.19)
64: (x,y) = (361.924, 2.89334)
65: (x,y) = (484.455, -7.82682)
66: (x,y) = (361.474, -5.68017)
67: (x,y) = (254.953, -67.1802)
68: (x,y) = (231.484, 53.56)
69: (x,y) = (150.788, 146.389)
70: (x,y) = (273.489, 137.809)
71: (x,y) = (347.512, 39.577)
72: (x,y) = (441.735, 118.64)
73: (x,y) = (463.094, -2.49144)
74: (x,y) = (570.672, 57.1401)
75: (x,y) = (516.753, 167.692)
76: (x,y) = (503.896, 45.3656)
77: (x,y) = (387.597, 5.32073)
78: (x,y) = (381.16, -117.511)
79: (x,y) = (292.681, -32.0677)
80: (x,y) = (366.704, 66.1644)
81: (x,y) = (292.681, -32.0677)
82: (x,y) = (371.744, -126.291)
83: (x,y) = (417.82, -240.335)
84: (x,y) = (461.9, -125.504)
85: (x,y) = (584.226, -138.361)
86: (x,y) = (468.644, -96.2929)
87: (x,y) = (571.8, -163.284)
88: (x,y) = (676.11, -228.464)
89: (x,y) = (665.39, -350.996)
90: (x,y) = (752.364, -264.021)
91: (x,y) = (651.608, -334.571)
92: (x,y) = (747.197, -257.165)
93: (x,y) = (803.038, -366.759)
94: (x,y) = (911.641, -309.014)
95: (x,y) = (1021.23, -364.855)
96: (x,y) = (932.756, -450.298)
97: (x,y) = (844.277, -535.741)
98: (x,y) = (721.296, -537.887)
99: (x,y) = (717.003, -414.962)
100: (x,y) = (780.353, -520.394)
101: (x,y) = (830.381, -632.76)
102: (x,y) = (937.959, -692.391)
103: (x,y) = (814.978, -694.538)
104: (x,y) = (704.426, -748.458)
105: (x,y) = (816.793, -798.486)
106: (x,y) = (712.483, -733.306)
107: (x,y) = (714.629, -856.287)
108: (x,y) = (632.326, -764.881)
109: (x,y) = (674.395, -649.298)
110: (x,y) = (602.097, -549.789)
111: (x,y) = (536.917, -654.099)
112: (x,y) = (659.917, -654.099)
113: (x,y) = (765.349, -717.449)
114: (x,y) = (683.046, -626.042)
115: (x,y) = (738.886, -735.636)
116: (x,y) = (686.904, -624.16)
117: (x,y) = (712.477, -744.472)
118: (x,y) = (793.173, -651.643)
119: (x,y) = (747.096, -765.687)
120: (x,y) = (703.017, -650.856)
121: (x,y) = (654.957, -764.078)
122: (x,y) = (762.535, -704.447)
123: (x,y) = (834.833, -604.938)
124: (x,y) = (762.535, -505.428)
125: (x,y) = (697.355, -609.738)
126: (x,y) = (811.399, -563.662)
127: (x,y) = (809.252, -440.681)
128: (x,y) = (736.954, -540.19)
129: (x,y) = (614.123, -546.627)
130: (x,y) = (570.044, -661.457)
131: (x,y) = (463.523, -599.957)
132: (x,y) = (552.001, -685.4)
133: (x,y) = (627.728, -782.326)
134: (x,y) = (723.317, -859.732)
135: (x,y) = (633.36, -775.846)
136: (x,y) = (702.141, -877.818)
137: (x,y) = (802.897, -948.368)
138: (x,y) = (680.065, -954.805)
139: (x,y) = (642.056, -837.825)
140: (x,y) = (610.221, -719.016)
141: (x,y) = (716.743, -780.516)
142: (x,y) = (725.323, -903.217)
143: (x,y) = (627.09, -829.193)
144: (x,y) = (669.159, -944.776)
145: (x,y) = (569.65, -1017.07)
146: (x,y) = (692.631, -1014.93)
147: (x,y) = (658.728, -896.691)
148: (x,y) = (537.242, -915.933)
149: (x,y) = (507.486, -796.586)
150: (x,y) = (610.642, -863.577)
151: (x,y) = (534.916, -960.502)
152: (x,y) = (592.661, -851.9)
153: (x,y) = (488.351, -786.72)
154: (x,y) = (464.881, -665.98)
155: (x,y) = (412.899, -554.504)
156: (x,y) = (454.968, -670.086)
157: (x,y) = (414.923, -786.385)
158: (x,y) = (450.885, -904.01)
159: (x,y) = (502.867, -792.534)
160: (x,y) = (379.885, -794.681)
161: (x,y) = (501.969, -779.691)
162: (x,y) = (584.272, -871.098)
163: (x,y) = (468.689, -829.029)
164: (x,y) = (570.661, -760.249)
165: (x,y) = (630.293, -652.67)
166: (x,y) = (552.886, -748.259)
167: (x,y) = (578.459, -627.947)
168: (x,y) = (477.704, -698.497)
169: (x,y) = (372.272, -635.147)
170: (x,y) = (474.244, -703.928)
171: (x,y) = (504, -584.582)
172: (x,y) = (414.044, -668.468)
173: (x,y) = (462.104, -555.245)
174: (x,y) = (449.247, -432.919)
175: (x,y) = (326.265, -430.773)
176: (x,y) = (205.525, -407.303)
177: (x,y) = (112.696, -487.998)
178: (x,y) = (125.553, -610.325)
179: (x,y) = (247.356, -593.206)
180: (x,y) = (368.841, -573.965)
181: (x,y) = (257.366, -625.947)
182: (x,y) = (197.734, -518.369)
183: (x,y) = (159.725, -635.349)
184: (x,y) = (40.3786, -605.592)
185: (x,y) = (63.8481, -726.332)
186: (x,y) = (155.255, -808.635)
187: (x,y) = (111.176, -693.805)
188: (x,y) = (16.9522, -772.868)
189: (x,y) = (-33.0765, -660.502)
190: (x,y) = (82.5057, -702.57)
191: (x,y) = (-14.4196, -626.844)
192: (x,y) = (92.1015, -688.344)
193: (x,y) = (6.65856, -776.823)
194: (x,y) = (99.4878, -696.127)
195: (x,y) = (14.0449, -784.606)
196: (x,y) = (3.3247, -662.074)
197: (x,y) = (70.3153, -558.918)
198: (x,y) = (16.3957, -669.47)
199: (x,y) = (92.122, -572.544)
200: (x,y) = (184.951, -491.849)
201: (x,y) = (68.6525, -451.804)
202: (x,y) = (-42.8234, -399.822)
203: (x,y) = (-121.886, -494.045)
204: (x,y) = (-243.018, -515.404)
205: (x,y) = (-223.776, -393.919)
206: (x,y) = (-100.776, -393.919)
207: (x,y) = (-203.933, -326.928)
208: (x,y) = (-320.913, -364.937)
209: (x,y) = (-225.324, -287.531)
210: (x,y) = (-104.583, -311)
211: (x,y) = (-64.5386, -427.299)
212: (x,y) = (4.24213, -325.327)
213: (x,y) = (-96.5136, -254.777)
214: (x,y) = (-9.53943, -341.752)
215: (x,y) = (-0.959387, -219.051)
216: (x,y) = (-20.2008, -340.537)
217: (x,y) = (44.9792, -444.847)
218: (x,y) = (-70.6029, -402.778)
219: (x,y) = (-85.5929, -280.695)
220: (x,y) = (36.7333, -293.552)
221: (x,y) = (-70.8449, -353.184)
222: (x,y) = (47.3903, -319.28)
223: (x,y) = (170.222, -312.843)
224: (x,y) = (170.222, -189.843)
225: (x,y) = (242.519, -90.3338)
226: (x,y) = (365.351, -96.7712)
227: (x,y) = (325.306, 19.5276)
228: (x,y) = (306.064, 141.013)
229: (x,y) = (427.55, 121.772)
230: (x,y) = (337.594, 205.658)
231: (x,y) = (397.225, 98.0794)
232: (x,y) = (403.662, 220.911)
233: (x,y) = (439.624, 338.536)
234: (x,y) = (403.662, 456.162)
235: (x,y) = (412.243, 333.461)
236: (x,y) = (386.669, 453.774)
237: (x,y) = (509.201, 443.053)
238: (x,y) = (604.79, 365.647)
239: (x,y) = (721.77, 327.638)
240: (x,y) = (786.95, 431.948)
241: (x,y) = (672.12, 476.027)
242: (x,y) = (665.683, 598.859)
243: (x,y) = (545.835, 626.528)
244: (x,y) = (478.844, 729.684)
245: (x,y) = (491.701, 852.01)
246: (x,y) = (565.725, 753.778)
247: (x,y) = (639.748, 852.01)
248: (x,y) = (728.227, 937.453)
249: (x,y) = (835.805, 877.822)
250: (x,y) = (877.873, 762.239)
251: (x,y) = (787.917, 846.125)
252: (x,y) = (779.337, 968.826)
253: (x,y) = (747.502, 1087.63)
254: (x,y) = (624.671, 1094.07)
255: (x,y) = (559.491, 989.762)
256: (x,y) = (456.334, 1056.75)
257: (x,y) = (334.531, 1039.63)
258: (x,y) = (315.29, 1161.12)
259: (x,y) = (269.213, 1047.08)
260: (x,y) = (375.734, 1108.58)
261: (x,y) = (259.436, 1148.62)
262: (x,y) = (380.567, 1127.26)
263: (x,y) = (311.786, 1229.23)
264: (x,y) = (211.03, 1299.78)
265: (x,y) = (330.878, 1327.45)
266: (x,y) = (448.503, 1363.41)
267: (x,y) = (402.427, 1249.37)
268: (x,y) = (408.864, 1372.2)
269: (x,y) = (510.836, 1440.98)
270: (x,y) = (523.693, 1318.66)
271: (x,y) = (401.89, 1301.54)
272: (x,y) = (522.63, 1325.01)
273: (x,y) = (566.709, 1439.84)
274: (x,y) = (497.928, 1337.87)
275: (x,y) = (472.355, 1217.55)
276: (x,y) = (575.512, 1284.55)
277: (x,y) = (549.939, 1404.86)
278: (x,y) = (462.965, 1491.83)
279: (x,y) = (452.244, 1369.3)
280: (x,y) = (349.088, 1436.29)
281: (x,y) = (226.388, 1444.87)
282: (x,y) = (254.057, 1564.72)
283: (x,y) = (241.2, 1442.39)
284: (x,y) = (306.38, 1338.08)
285: (x,y) = (425.188, 1306.25)
286: (x,y) = (302.657, 1316.97)
287: (x,y) = (212.7, 1400.85)
288: (x,y) = (315.856, 1333.86)
289: (x,y) = (424.459, 1276.12)
290: (x,y) = (485.959, 1382.64)
291: (x,y) = (606.271, 1408.21)
292: (x,y) = (593.414, 1285.89)
293: (x,y) = (680.388, 1372.86)
294: (x,y) = (557.463, 1377.15)
295: (x,y) = (548.883, 1499.85)
296: (x,y) = (500.823, 1386.63)
297: (x,y) = (396.513, 1321.45)
298: (x,y) = (277.704, 1289.62)
299: (x,y) = (157.857, 1261.95)
300: (x,y) = (241.743, 1171.99)
301: (x,y) = (343.714, 1103.21)
302: (x,y) = (348.007, 1226.13)
303: (x,y) = (439.414, 1143.83)
304: (x,y) = (316.433, 1145.98)
305: (x,y) = (368.415, 1257.45)
306: (x,y) = (245.583, 1263.89)
307: (x,y) = (232.726, 1386.22)
308: (x,y) = (354.212, 1405.46)
309: (x,y) = (234.364, 1433.13)
310: (x,y) = (127.843, 1494.63)
311: (x,y) = (171.922, 1379.8)
312: (x,y) = (270.155, 1305.77)
313: (x,y) = (216.235, 1416.33)
314: (x,y) = (270.155, 1526.88)
315: (x,y) = (164.723, 1590.23)
316: (x,y) = (194.479, 1709.57)
317: (x,y) = (222.148, 1589.73)
318: (x,y) = (312.105, 1673.61)
319: (x,y) = (324.962, 1551.29)
320: (x,y) = (400.688, 1454.36)
321: (x,y) = (448.748, 1341.14)
322: (x,y) = (517.529, 1443.11)
323: (x,y) = (397.217, 1417.54)
324: (x,y) = (287.623, 1473.38)
325: (x,y) = (249.614, 1590.36)
326: (x,y) = (314.794, 1486.05)
327: (x,y) = (227.82, 1399.07)
328: (x,y) = (185.751, 1283.49)
329: (x,y) = (172.894, 1161.17)
330: (x,y) = (294.38, 1180.41)
331: (x,y) = (212.077, 1271.81)
332: (x,y) = (190.718, 1150.68)
333: (x,y) = (74.4194, 1110.64)
334: (x,y) = (124.448, 998.271)
335: (x,y) = (57.4575, 1101.43)
336: (x,y) = (-58.1247, 1143.5)
337: (x,y) = (-168.676, 1197.42)
338: (x,y) = (-281.899, 1245.48)
339: (x,y) = (-237.819, 1130.65)
340: (x,y) = (-174.47, 1025.21)
341: (x,y) = (-293.816, 1054.97)
342: (x,y) = (-225.035, 952.998)
343: (x,y) = (-282.78, 844.396)
344: (x,y) = (-402.127, 814.64)
345: (x,y) = (-463.627, 921.161)
346: (x,y) = (-547.512, 831.204)
347: (x,y) = (-670.213, 839.784)
348: (x,y) = (-548.13, 854.774)
349: (x,y) = (-567.371, 733.288)
350: (x,y) = (-607.416, 849.587)
351: (x,y) = (-559.356, 736.365)
352: (x,y) = (-439.044, 710.792)
353: (x,y) = (-415.574, 590.052)
354: (x,y) = (-343.277, 689.561)
355: (x,y) = (-425.58, 780.968)
356: (x,y) = (-515.536, 864.854)
357: (x,y) = (-392.611, 860.561)
358: (x,y) = (-352.566, 744.262)
359: (x,y) = (-231.435, 722.903)
360: (x,y) = (-292.935, 616.382)
361: (x,y) = (-415.467, 627.102)
362: (x,y) = (-306.864, 684.847)
363: (x,y) = (-289.746, 806.65)
364: (x,y) = (-406.045, 846.695)
365: (x,y) = (-374.21, 727.886)
366: (x,y) = (-310.86, 622.455)
367: (x,y) = (-381.41, 521.699)
368: (x,y) = (-463.713, 613.106)
369: (x,y) = (-384.651, 707.329)
370: (x,y) = (-500.233, 665.261)
371: (x,y) = (-377.308, 669.554)
372: (x,y) = (-431.227, 780.105)
373: (x,y) = (-535.537, 714.925)
374: (x,y) = (-561.11, 835.237)
375: (x,y) = (-438.784, 848.094)
376: (x,y) = (-353.341, 759.616)
377: (x,y) = (-374.7, 638.484)
378: (x,y) = (-336.691, 521.504)
379: (x,y) = (-222.647, 475.428)
380: (x,y) = (-111.171, 423.446)
381: (x,y) = (-231.484, 449.019)
382: (x,y) = (-201.727, 329.672)
383: (x,y) = (-78.8021, 325.38)
384: (x,y) = (-189.354, 271.46)
385: (x,y) = (-239.382, 159.094)
386: (x,y) = (-283.462, 273.924)
387: (x,y) = (-359.188, 176.999)
388: (x,y) = (-245.966, 128.939)
389: (x,y) = (-149.041, 53.2127)
390: (x,y) = (-40.438, -4.53228)
391: (x,y) = (-10.6816, 114.814)
392: (x,y) = (-122.157, 166.796)
393: (x,y) = (-43.0946, 261.02)
394: (x,y) = (-147.404, 195.84)
395: (x,y) = (-44.248, 262.83)
396: (x,y) = (5.78061, 150.464)
397: (x,y) = (61.6214, 260.058)
398: (x,y) = (-60.7048, 272.915)
399: (x,y) = (61.3784, 287.905)
400: (x,y) = (-35.5469, 363.631)
401: (x,y) = (16.4351, 252.155)
402: (x,y) = (35.6766, 373.641)
403: (x,y) = (-83.6698, 403.397)
404: (x,y) = (-169.113, 491.876)
405: (x,y) = (-55.8907, 443.816)
406: (x,y) = (-68.7477, 566.142)
407: (x,y) = (25.4758, 645.205)
408: (x,y) = (148.457, 647.352)
409: (x,y) = (217.238, 545.38)
410: (x,y) = (177.193, 661.679)
411: (x,y) = (185.773, 538.979)
412: (x,y) = (179.336, 416.147)
413: (x,y) = (97.0326, 507.554)
414: (x,y) = (164.023, 610.711)
415: (x,y) = (155.443, 733.411)
416: (x,y) = (33.1169, 720.554)
417: (x,y) = (-70.0396, 653.563)
418: (x,y) = (-36.1362, 771.799)
419: (x,y) = (-158.219, 786.788)
420: (x,y) = (-274.518, 746.744)
421: (x,y) = (-391.498, 784.753)
422: (x,y) = (-441.527, 672.387)
423: (x,y) = (-367.503, 574.154)
424: (x,y) = (-468.259, 644.704)
425: (x,y) = (-432.297, 762.33)
426: (x,y) = (-363.517, 660.358)
427: (x,y) = (-248.686, 616.279)
428: (x,y) = (-342.91, 537.216)
429: (x,y) = (-231.434, 485.234)
430: (x,y) = (-207.964, 364.494)
431: (x,y) = (-122.521, 452.973)
432: (x,y) = (-80.4529, 568.555)
433: (x,y) = (21.5187, 637.336)
434: (x,y) = (103.822, 728.742)
435: (x,y) = (120.94, 606.939)
436: (x,y) = (243.266, 594.082)
437: (x,y) = (203.221, 710.381)
438: (x,y) = (262.853, 817.959)
439: (x,y) = (153.259, 762.119)
440: (x,y) = (66.285, 675.144)
441: (x,y) = (12.3653, 785.696)
442: (x,y) = (133.497, 807.055)
443: (x,y) = (245.863, 757.026)
444: (x,y) = (175.313, 857.782)
445: (x,y) = (55.4654, 830.113)
446: (x,y) = (142.44, 743.139)
447: (x,y) = (256.483, 789.215)
448: (x,y) = (226.727, 908.562)
449: (x,y) = (260.63, 790.327)
450: (x,y) = (247.773, 668)
451: (x,y) = (367.119, 638.244)
452: (x,y) = (364.973, 515.263)
453: (x,y) = (426.473, 408.742)
454: (x,y) = (380.396, 522.785)
455: (x,y) = (393.253, 400.459)
456: (x,y) = (288.943, 335.279)
457: (x,y) = (196.114, 415.974)
458: (x,y) = (79.8153, 456.019)
459: (x,y) = (66.9583, 333.693)
460: (x,y) = (113.035, 219.649)
461: (x,y) = (233.775, 243.119)
462: (x,y) = (122.299, 191.137)
463: (x,y) = (204.602, 282.544)
464: (x,y) = (320.184, 324.612)
465: (x,y) = (418.417, 250.589)
466: (x,y) = (321.491, 326.315)
467: (x,y) = (198.566, 330.608)
468: (x,y) = (215.684, 452.411)
469: (x,y) = (239.154, 573.151)
470: (x,y) = (311.452, 672.66)
471: (x,y) = (206.02, 609.31)
472: (x,y) = (310.33, 674.49)
473: (x,y) = (433.311, 672.344)
474: (x,y) = (403.555, 791.69)
475: (x,y) = (321.252, 883.097)
476: (x,y) = (283.243, 766.117)
477: (x,y) = (333.271, 653.751)
478: (x,y) = (348.261, 775.834)
479: (x,y) = (341.824, 898.666)
480: (x,y) = (463.907, 913.655)
481: (x,y) = (487.377, 792.915)
482: (x,y) = (581.6, 871.978)
483: (x,y) = (677.189, 949.385)
484: (x,y) = (757.884, 1042.21)
485: (x,y) = (853.473, 964.807)
486: (x,y) = (975.799, 951.95)
487: (x,y) = (903.502, 1051.46)
488: (x,y) = (807.913, 974.053)
489: (x,y) = (710.987, 898.327)
490: (x,y) = (653.242, 1006.93)
491: (x,y) = (580.945, 1106.44)
492: (x,y) = (486.721, 1185.5)
493: (x,y) = (548.221, 1292.02)
494: (x,y) = (434.999, 1243.96)
495: (x,y) = (368.009, 1140.81)
496: (x,y) = (450.312, 1049.4)
497: (x,y) = (386.962, 1154.83)
498: (x,y) = (306.267, 1247.66)
499: (x,y) = (385.33, 1341.88)
500: (x,y) = (378.892, 1464.71)
501: (x,y) = (474.481, 1387.31)
502: (x,y) = (440.578, 1505.54)
503: (x,y) = (455.568, 1383.46)
504: (x,y) = (442.711, 1505.79)
505: (x,y) = (529.685, 1418.81)
506: (x,y) = (481.625, 1305.59)
507: (x,y) = (603.111, 1286.35)
508: (x,y) = (685.414, 1194.94)
509: (x,y) = (649.452, 1077.32)
510: (x,y) = (586.102, 1182.75)
511: (x,y) = (617.937, 1301.56)
512: (x,y) = (554.587, 1406.99)
513: (x,y) = (514.543, 1523.29)
514: (x,y) = (629.373, 1479.21)
515: (x,y) = (745.672, 1439.16)
516: (x,y) = (626.863, 1471)
517: (x,y) = (631.156, 1593.92)
518: (x,y) = (547.27, 1503.97)
519: (x,y) = (430.971, 1544.01)
520: (x,y) = (350.276, 1451.18)
521: (x,y) = (470.588, 1476.76)
522: (x,y) = (491.947, 1355.62)
523: (x,y) = (443.887, 1242.4)
524: (x,y) = (320.962, 1238.11)
525: (x,y) = (295.388, 1117.8)
526: (x,y) = (230.208, 1222.11)
527: (x,y) = (264.112, 1103.87)
528: (x,y) = (366.083, 1172.65)
529: (x,y) = (348.965, 1050.85)
530: (x,y) = (398.994, 938.484)
531: (x,y) = (422.463, 1059.22)
532: (x,y) = (340.16, 1150.63)
533: (x,y) = (292.1, 1263.85)
534: (x,y) = (170.969, 1285.21)
535: (x,y) = (217.045, 1399.26)
536: (x,y) = (155.545, 1292.73)
537: (x,y) = (146.965, 1415.43)
538: (x,y) = (204.71, 1524.04)
539: (x,y) = (96.1079, 1466.29)
540: (x,y) = (213.733, 1502.25)
541: (x,y) = (90.7334, 1502.25)
542: (x,y) = (152.233, 1608.77)
543: (x,y) = (139.376, 1486.45)
544: (x,y) = (21.7509, 1450.49)
545: (x,y) = (0.392148, 1571.62)
546: (x,y) = (93.2214, 1652.31)
547: (x,y) = (-24.4041, 1688.28)
548: (x,y) = (-147.235, 1681.84)
549: (x,y) = (-115.401, 1800.65)
550: (x,y) = (-6.79819, 1858.39)
551: (x,y) = (-92.2412, 1946.87)
552: (x,y) = (-215.241, 1946.87)
553: (x,y) = (-94.1098, 1968.23)
554: (x,y) = (-208.153, 2014.31)
555: (x,y) = (-303.742, 1936.9)
556: (x,y) = (-379.469, 2033.82)
557: (x,y) = (-333.392, 1919.78)
558: (x,y) = (-335.539, 2042.76)
559: (x,y) = (-244.132, 2125.07)
560: (x,y) = (-202.063, 2009.48)
561: (x,y) = (-277.79, 1912.56)
562: (x,y) = (-195.487, 1821.15)
563: (x,y) = (-157.478, 1938.13)
564: (x,y) = (-56.722, 1867.58)
565: (x,y) = (37.5015, 1946.64)
566: (x,y) = (-67.9301, 2009.99)
567: (x,y) = (-167.439, 2082.29)
568: (x,y) = (-255.918, 2167.73)
569: (x,y) = (-354.15, 2093.71)
570: (x,y) = (-239.32, 2137.79)
571: (x,y) = (-121.085, 2171.69)
572: (x,y) = (-241.397, 2197.27)
573: (x,y) = (-179.897, 2303.79)
574: (x,y) = (-292.263, 2253.76)
575: (x,y) = (-232.631, 2361.34)
576: (x,y) = (-354.434, 2378.46)
577: (x,y) = (-254.925, 2306.16)
578: (x,y) = (-141.703, 2258.1)
579: (x,y) = (-256.533, 2214.02)
580: (x,y) = (-204.551, 2325.49)
581: (x,y) = (-181.082, 2204.75)
582: (x,y) = (-58.3815, 2196.17)
583: (x,y) = (57.2007, 2154.11)
584: (x,y) = (-59.0981, 2114.06)
585: (x,y) = (-29.3417, 2233.41)
586: (x,y) = (-61.1764, 2352.22)
587: (x,y) = (21.1266, 2260.81)
588: (x,y) = (16.834, 2383.73)
589: (x,y) = (-4.52473, 2504.87)
590: (x,y) = (-107.681, 2437.88)
591: (x,y) = (-179.979, 2338.37)
592: (x,y) = (-255.705, 2241.44)
593: (x,y) = (-186.924, 2139.47)
594: (x,y) = (-82.6145, 2074.29)
595: (x,y) = (-205.54, 2070)
596: (x,y) = (-253.6, 2183.22)
597: (x,y) = (-270.718, 2061.42)
598: (x,y) = (-308.727, 1944.44)
599: (x,y) = (-419.279, 1998.36)
600: (x,y) = (-314.969, 2063.54)
601: (x,y) = (-409.192, 1984.47)
602: (x,y) = (-286.866, 1997.33)
603: (x,y) = (-212.843, 2095.56)
604: (x,y) = (-334.328, 2114.8)
605: (x,y) = (-418.214, 2204.76)
606: (x,y) = (-353.034, 2309.07)
607: (x,y) = (-350.887, 2432.05)
608: (x,y) = (-445.111, 2352.99)
609: (x,y) = (-567.437, 2365.85)
610: (x,y) = (-444.737, 2357.27)
611: (x,y) = (-423.378, 2478.4)
612: (x,y) = (-545.704, 2465.54)
613: (x,y) = (-556.424, 2343.01)
614: (x,y) = (-510.348, 2228.96)
615: (x,y) = (-603.177, 2309.66)
616: (x,y) = (-569.274, 2191.42)
617: (x,y) = (-646.68, 2287.01)
618: (x,y) = (-720.703, 2188.78)
619: (x,y) = (-766.78, 2302.82)
620: (x,y) = (-874.358, 2243.19)
621: (x,y) = (-935.858, 2136.67)
622: (x,y) = (-1036.61, 2207.22)
623: (x,y) = (-946.657, 2123.34)
624: (x,y) = (-858.178, 2037.89)
625: (x,y) = (-915.923, 2146.5)
626: (x,y) = (-896.682, 2025.01)
627: (x,y) = (-1016.99, 1999.44)
628: (x,y) = (-948.213, 2101.41)
629: (x,y) = (-931.095, 2223.21)
630: (x,y) = (-928.949, 2100.23)
631: (x,y) = (-907.59, 1979.1)
632: (x,y) = (-795.224, 2029.13)
633: (x,y) = (-753.155, 2144.71)
634: (x,y) = (-631.072, 2159.7)
635: (x,y) = (-688.817, 2051.1)
636: (x,y) = (-807.626, 2019.26)
637: (x,y) = (-918.178, 1965.34)
638: (x,y) = (-1040.5, 1978.2)
639: (x,y) = (-996.425, 2093.03)
640: (x,y) = (-873.499, 2088.74)
641: (x,y) = (-917.579, 1973.91)
642: (x,y) = (-915.432, 2096.89)
643: (x,y) = (-943.101, 2216.74)
644: (x,y) = (-1050.68, 2157.1)
645: (x,y) = (-1163.05, 2107.08)
646: (x,y) = (-1043.2, 2079.41)
647: (x,y) = (-1154.67, 2131.39)
648: (x,y) = (-1131.2, 2010.65)
649: (x,y) = (-1254.19, 2012.8)
650: (x,y) = (-1210.11, 2127.63)
651: (x,y) = (-1267.85, 2019.02)
652: (x,y) = (-1200.86, 1915.87)
653: (x,y) = (-1215.85, 2037.95)
654: (x,y) = (-1307.26, 1955.65)
655: (x,y) = (-1263.18, 1840.82)
656: (x,y) = (-1348.62, 1929.29)
657: (x,y) = (-1363.61, 2051.38)
658: (x,y) = (-1475.09, 1999.4)
659: (x,y) = (-1540.27, 1895.09)
660: (x,y) = (-1423.97, 1935.13)
661: (x,y) = (-1543.31, 1964.89)
662: (x,y) = (-1479.96, 1859.46)
663: (x,y) = (-1575.55, 1936.86)
664: (x,y) = (-1521.63, 2047.41)
665: (x,y) = (-1644.33, 2038.83)
666: (x,y) = (-1743.84, 2111.13)
667: (x,y) = (-1812.62, 2213.1)
